url,status,time,error
https://google.com,200,1.2,
https://example12345.fakeurl,,,"HTTPSConnectionPool(host='example12345.fakeurl', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000208D2DE0FB0>: Failed to resolve 'example12345.fakeurl' ([Errno 11001] getaddrinfo failed)""))"
